

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = NA
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1436.05	P	6.02111e-05
AFFX-BioB-M_at	2269.43	P	4.42873e-05
AFFX-BioB-3_at	1494.27	P	4.42873e-05
AFFX-BioC-5_at	4413.25	P	4.42873e-05
AFFX-BioC-3_at	5991.62	P	4.42873e-05
AFFX-BioDn-5_at	10887.7	P	4.42873e-05
AFFX-BioDn-3_at	16332	P	4.42873e-05
AFFX-CreX-5_at	57902	P	5.16732e-05
AFFX-CreX-3_at	62950.3	P	4.42873e-05
AFFX-DapX-5_at	935.988	P	5.16732e-05
AFFX-DapX-M_at	1983.9	P	0.000581214
AFFX-DapX-3_at	2769.95	P	4.42873e-05
AFFX-LysX-5_at	147.269	P	0.000445901
AFFX-LysX-M_at	276.061	P	0.0125468
AFFX-LysX-3_at	580.301	P	4.42873e-05
AFFX-PheX-5_at	168.628	P	0.00933744
AFFX-PheX-M_at	196.18	P	0.000169227
AFFX-PheX-3_at	351.67	P	0.000126798
AFFX-ThrX-5_at	262.723	P	0.0012475
AFFX-ThrX-M_at	337.136	P	0.00010954
AFFX-ThrX-3_at	526.461	P	0.000445901
AFFX-TrpnX-5_at	44.6173	A	0.227636
AFFX-TrpnX-M_at	10.272	A	0.916408
AFFX-TrpnX-3_at	41.3777	A	0.300591
AFFX-r2-Ec-bioB-5_at	2133.79	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2420.45	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2333.1	P	0.000244141
AFFX-r2-Ec-bioC-5_at	5809.11	P	0.000244141
AFFX-r2-Ec-bioC-3_at	6328.5	P	0.000244141
AFFX-r2-Ec-bioD-5_at	24085.7	P	0.000244141
AFFX-r2-Ec-bioD-3_at	27420.9	P	0.000244141
AFFX-r2-P1-cre-5_at	67141.2	P	0.000244141
AFFX-r2-P1-cre-3_at	86309.3	P	0.000244141
AFFX-r2-Bs-dap-5_at	1123.12	P	0.000244141
AFFX-r2-Bs-dap-M_at	2315.2	P	0.000244141
AFFX-r2-Bs-dap-3_at	4059.16	P	0.000244141
AFFX-r2-Bs-lys-5_at	211.153	P	0.000244141
