

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1603.08	P	6.02111e-05
AFFX-BioB-M_at	2604.51	P	4.42873e-05
AFFX-BioB-3_at	1792.12	P	4.42873e-05
AFFX-BioC-5_at	4921.82	P	4.42873e-05
AFFX-BioC-3_at	6720.68	P	4.42873e-05
AFFX-BioDn-5_at	12566.5	P	4.42873e-05
AFFX-BioDn-3_at	17465.9	P	4.42873e-05
AFFX-CreX-5_at	63313.2	P	5.16732e-05
AFFX-CreX-3_at	70139.2	P	4.42873e-05
AFFX-DapX-5_at	1141.39	P	9.4506e-05
AFFX-DapX-M_at	2502.62	P	0.000445901
AFFX-DapX-3_at	3621.47	P	5.16732e-05
AFFX-LysX-5_at	195.192	P	0.00010954
AFFX-LysX-M_at	270.452	P	0.0044838
AFFX-LysX-3_at	826.835	P	0.000126798
AFFX-PheX-5_at	151.254	P	0.00227496
AFFX-PheX-M_at	435.526	P	8.14279e-05
AFFX-PheX-3_at	497.543	P	9.4506e-05
AFFX-ThrX-5_at	251.473	P	0.00110197
AFFX-ThrX-M_at	492.831	P	6.02111e-05
AFFX-ThrX-3_at	734.656	P	0.000126798
AFFX-TrpnX-5_at	63.5747	A	0.48511
AFFX-TrpnX-M_at	12.0142	A	0.804734
AFFX-TrpnX-3_at	53.9581	A	0.102165
AFFX-r2-Ec-bioB-5_at	2551.73	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2599.72	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2680.05	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6520.66	P	0.000732422
AFFX-r2-Ec-bioC-3_at	7201.18	P	0.000244141
AFFX-r2-Ec-bioD-5_at	28061.3	P	0.000244141
AFFX-r2-Ec-bioD-3_at	28077.1	P	0.000244141
AFFX-r2-P1-cre-5_at	74153.6	P	0.000244141
AFFX-r2-P1-cre-3_at	93145.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	1410.79	P	0.000244141
AFFX-r2-Bs-dap-M_at	2996.16	P	0.000244141
AFFX-r2-Bs-dap-3_at	5056.07	P	0.000244141
AFFX-r2-Bs-lys-5_at	326.69	P	0.000244141
AFFX-r2-Bs-lys-M_at	340.994	P	0.000732422
AFFX-r2-Bs-lys-3_at	282.93	P	0.00415039
AFFX-r2-Bs-phe-5_at	637.848	P	0.000244141
AFFX-r2-Bs-phe-M_at	349.574	P	0.00585938
AFFX-r2-Bs-phe-3_at	674.045	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	896.177	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	710.718	P	0.00292969
AFFX-r2-Bs-thr-5_s_at	367.827	P	0.000244141
AFFX-b-ActinMur/M12481_5_at	76063.2	P	4.42873e-05
AFFX-b-ActinMur/M12481_M_at	76522.7	P	4.42873e-05
AFFX-b-ActinMur/M12481_3_at	90014.9	P	4.42873e-05
AFFX-GapdhMur/M32599_5_at	85291.2	P	4.42873e-05
AFFX-GapdhMur/M32599_M_at	79008.9	P	4.42873e-05
