

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1577.8	P	9.4506e-05
AFFX-BioB-M_at	2632.53	P	4.42873e-05
AFFX-BioB-3_at	1695.14	P	5.16732e-05
AFFX-BioC-5_at	4860.66	P	5.16732e-05
AFFX-BioC-3_at	6339.88	P	4.42873e-05
AFFX-BioDn-5_at	11545.5	P	4.42873e-05
AFFX-BioDn-3_at	18628.7	P	5.16732e-05
AFFX-CreX-5_at	57714.1	P	5.16732e-05
AFFX-CreX-3_at	62760.5	P	4.42873e-05
AFFX-DapX-5_at	966.856	P	0.00010954
AFFX-DapX-M_at	2594.85	P	0.000445901
AFFX-DapX-3_at	3315.63	P	4.42873e-05
AFFX-LysX-5_at	165.554	P	0.000581214
AFFX-LysX-M_at	381.36	P	0.00933744
AFFX-LysX-3_at	722.138	P	7.00668e-05
AFFX-PheX-5_at	198.952	P	0.000296708
AFFX-PheX-M_at	344.948	P	0.000972149
AFFX-PheX-3_at	330.133	P	0.000340305
AFFX-ThrX-5_at	280.018	P	0.00179591
AFFX-ThrX-M_at	407.787	P	0.000340305
AFFX-ThrX-3_at	798.259	P	0.000126798
AFFX-TrpnX-5_at	26.0602	A	0.382599
AFFX-TrpnX-M_at	46.2273	A	0.455413
AFFX-TrpnX-3_at	44.7334	A	0.165861
AFFX-r2-Ec-bioB-5_at	2476.03	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2549.96	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2498.26	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6051.79	P	0.000244141
AFFX-r2-Ec-bioC-3_at	7004.26	P	0.000244141
AFFX-r2-Ec-bioD-5_at	25239.7	P	0.000244141
AFFX-r2-Ec-bioD-3_at	27805.6	P	0.000244141
AFFX-r2-P1-cre-5_at	66992.1	P	0.000244141
AFFX-r2-P1-cre-3_at	90615.8	P	0.000244141
AFFX-r2-Bs-dap-5_at	1417.39	P	0.000244141
AFFX-r2-Bs-dap-M_at	2846.89	P	0.000244141
AFFX-r2-Bs-dap-3_at	4959.79	P	0.000244141
AFFX-r2-Bs-lys-5_at	229.176	P	0.000244141
AFFX-r2-Bs-lys-M_at	381.276	P	0.000244141
AFFX-r2-Bs-lys-3_at	391.156	P	0.000732422
AFFX-r2-Bs-phe-5_at	334.544	P	0.000732422
AFFX-r2-Bs-phe-M_at	310.086	P	0.000244141
AFFX-r2-Bs-phe-3_at	643.783	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	987.293	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	611.405	P	0.0141602
AFFX-r2-Bs-thr-5_s_at	399.562	P	0.0012207
AFFX-b-ActinMur/M12481_5_at	68411	P	4.42873e-05
AFFX-b-ActinMur/M12481_M_at	69721.3	P	4.42873e-05
AFFX-b-ActinMur/M12481_3_at	83924.6	P	4.42873e-05
AFFX-GapdhMur/M32599_5_at	78593.6	P	4.42873e-05
AFFX-GapdhMur/M32599_M_at	71738.5	P	4.42873e-05
AFFX-GapdhMur/M32599_3_at	62888.6	P	4.42873e-05
AFFX-TransRecMur/X57349_5_at	1106.73	P	0.00010954
AFFX-TransRecMur/X57349_M_at	968.778	P	0.000258358
AFFX-TransRecMur/X57349_3_at	2571.77	P	4.42873e-05
AFFX-PyruCarbMur/L09192_5_at	291.413	P	0.0166701
AFFX-PyruCarbMur/L09192_MA_at	327.381	P	0.0182806
