

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	5398.7	P	0.000044
AFFX-BioB-M_at	7415.9	P	0.000044
AFFX-BioB-3_at	4878	P	0.000044
AFFX-BioC-5_at	9840.8	P	0.000044
AFFX-BioC-3_at	7270.7	P	0.000044
AFFX-BioDn-5_at	13760.8	P	0.000044
AFFX-BioDn-3_at	35133.8	P	0.000044
AFFX-CreX-5_at	90486.1	P	0.000052
AFFX-CreX-3_at	94086.4	P	0.000044
AFFX-DapX-5_at	30.4	M	0.054213
AFFX-DapX-M_at	6	A	0.51489
AFFX-DapX-3_at	14.9	A	0.485109
AFFX-LysX-5_at	2.1	A	0.852082
AFFX-LysX-M_at	17.7	A	0.659339
AFFX-LysX-3_at	7.4	A	0.617411
AFFX-PheX-5_at	2	A	0.987453
AFFX-PheX-M_at	3.4	A	0.559359
AFFX-PheX-3_at	32.1	A	0.185131
AFFX-ThrX-5_at	18.7	A	0.425956
AFFX-ThrX-M_at	21	A	0.455413
AFFX-ThrX-3_at	6.2	A	0.9273
AFFX-TrpnX-5_at	32.2	A	0.131361
AFFX-TrpnX-M_at	4	A	0.921998
AFFX-TrpnX-3_at	16.8	A	0.396911
AFFX-r2-Ec-bioB-5_at	7980.9	P	0.000244
AFFX-r2-Ec-bioB-M_at	7909.5	P	0.000244
AFFX-r2-Ec-bioB-3_at	5931.8	P	0.000244
AFFX-r2-Ec-bioC-5_at	10121.1	P	0.000244
AFFX-r2-Ec-bioC-3_at	11093.6	P	0.000244
AFFX-r2-Ec-bioD-5_at	35777	P	0.000244
AFFX-r2-Ec-bioD-3_at	47582.7	P	0.000244
AFFX-r2-P1-cre-5_at	105610.6	P	0.000244
AFFX-r2-P1-cre-3_at	140359.1	P	0.000244
AFFX-r2-Bs-dap-5_at	13.3	A	0.398926
AFFX-r2-Bs-dap-M_at	2.8	A	0.665527
AFFX-r2-Bs-dap-3_at	1.7	A	0.865967
AFFX-r2-Bs-lys-5_at	16.8	A	0.398926
AFFX-r2-Bs-lys-M_at	11.4	A	0.696289
AFFX-r2-Bs-lys-3_at	54.6	P	0.005859
AFFX-r2-Bs-phe-5_at	2.3	A	0.919434
AFFX-r2-Bs-phe-M_at	0.9	A	0.981445
AFFX-r2-Bs-phe-3_at	22.2	A	0.633789
AFFX-r2-Bs-thr-3_s_at	29.4	A	0.533936
AFFX-r2-Bs-thr-M_s_at	9.7	A	0.753906
AFFX-r2-Bs-thr-5_s_at	13.7	A	0.423828
AFFX-b-ActinMur/M12481_5_at	42353.8	P	0.000044
AFFX-b-ActinMur/M12481_M_at	40307.7	P	0.000044
AFFX-b-ActinMur/M12481_3_at	69362	P	0.000044
AFFX-GapdhMur/M32599_5_at	21170.1	P	0.000044
AFFX-GapdhMur/M32599_M_at	16354.6	P	0.000044
AFFX-GapdhMur/M32599_3_at	15112	P	0.000044
AFFX-TransRecMur/X57349_5_at	30.3	A	0.340661
AFFX-TransRecMur/X57349_M_at	43.1	A	0.327079
AFFX-TransRecMur/X57349_3_at	131.1	P	0.002867
AFFX-PyruCarbMur/L09192_5_at	125	P	0.033677
AFFX-PyruCarbMur/L09192_MA_at	73.1	A	0.227617
AFFX-PyruCarbMur/L09192_MB_at	37.8	A	0.368438
AFFX-PyruCarbMur/L09192_3_at	75.8	P	0.006187
AFFX-18SRNAMur/X00686_5_at	14725.2	P	0.000044
AFFX-18SRNAMur/X00686_M_at	3767.8	P	0.000044
AFFX-18SRNAMur/X00686_3_at	7549.8	P	0.000044
AFFX-MUR_b2_at	1662.7	P	0.000451
AFFX-MURINE_b1_at	7455.4	P	0.000093
AFFX-MURINE_B2_at	74206.8	P	0.00003
1415670_at	2183.2	P	0.000244
1415671_at	2275.4	P	0.000732
1415672_at	4228.6	P	0.000244
1415673_at	1392.9	P	0.000732
1415674_a_at	2534.7	P	0.000244
1415675_at	1680.2	P	0.000244
1415676_a_at	3780.6	P	0.000732
1415677_at	384	P	0.005859
1415678_at	2569.5	P	0.000244
1415679_at	9510.7	P	0.000244
1415680_at	1729.7	P	0.000732
1415681_at	2197.2	P	0.000244
1415682_at	726.2	P	0.000244
1415683_at	4812	P	0.000244
1415684_at	738.8	P	0.000244
1415685_at	1327.3	P	0.000244
1415686_at	1596.1	P	0.000244
1415687_a_at	6160	P	0.000244
1415688_at	3657.2	P	0.000244
1415689_s_at	1432.7	P	0.000244
1415690_at	2144.7	P	0.000244
1415691_at	2348.8	P	0.000244
1415692_s_at	8223.6	P	0.000244
1415693_at	1353	P	0.000732
1415694_at	482.4	P	0.000244
1415695_at	5053.7	P	0.000244
1415696_at	2235.3	P	0.000244
1415697_at	2648.7	P	0.000244
1415698_at	1475.1	P	0.000244
1415699_a_at	3432	P	0.000244
1415700_a_at	3622.4	P	0.000244
1415701_x_at	79883.8	P	0.000244
1415702_a_at	4854.7	P	0.000732
1415703_at	3518.8	P	0.000244
1415704_a_at	4634.4	P	0.000244
1415705_at	828.2	P	0.000244
1415706_at	6140.8	P	0.000244
1415707_at	1071.6	P	0.000244
1415708_at	4037	P	0.000244
1415709_s_at	679.4	P	0.000732
1415710_at	1005.7	P	0.000732
1415711_at	2864.6	P	0.000244
1415712_at	996.3	P	0.000244
1415713_a_at	1166.7	P	0.000244
1415714_a_at	4995.1	P	0.000244
1415715_at	473.2	P	0.000244
1415716_a_at	86999.4	P	0.000244
1415717_at	1303.7	P	0.005859
1415718_at	1732.8	P	0.000244
1415719_s_at	1841	P	0.001953
1415720_s_at	1294.3	P	0.000732
1415721_a_at	1777.6	P	0.000732
1415722_a_at	2057.4	P	0.000244
1415723_at	9560.6	P	0.000244
1415724_a_at	6190.9	P	0.000244
1415725_at	994	P	0.000244
