

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
AFFX-BioB-5_at	1513.3
AFFX-BioB-M_at	2768.1
AFFX-BioB-3_at	2060.1
AFFX-BioC-5_at	4239.2
AFFX-BioC-3_at	2752.6
AFFX-BioDn-5_at	7682.2
AFFX-BioDn-3_at	11216
AFFX-CreX-5_at	19817
AFFX-CreX-3_at	20017.1
AFFX-DapX-5_at	2.2
AFFX-DapX-M_at	1.5
AFFX-DapX-3_at	2
AFFX-LysX-5_at	1.1
AFFX-LysX-M_at	3.6
AFFX-LysX-3_at	0.5
AFFX-PheX-5_at	0.3
AFFX-PheX-M_at	1.6
AFFX-PheX-3_at	5
AFFX-ThrX-5_at	4.5
AFFX-ThrX-M_at	1.7
AFFX-ThrX-3_at	6.2
AFFX-TrpnX-5_at	13.7
AFFX-TrpnX-M_at	8
AFFX-TrpnX-3_at	5.4
AFFX-r2-Ec-bioB-5_at	2618.5
AFFX-r2-Ec-bioB-M_at	2727.9
AFFX-r2-Ec-bioB-3_at	2088.1
AFFX-r2-Ec-bioC-5_at	4806.5
AFFX-r2-Ec-bioC-3_at	4953.8
AFFX-r2-Ec-bioD-5_at	12872.6
AFFX-r2-Ec-bioD-3_at	14621.1
AFFX-r2-P1-cre-5_at	18946.7
AFFX-r2-P1-cre-3_at	23155.7
AFFX-r2-Bs-dap-5_at	0.6
AFFX-r2-Bs-dap-M_at	2.9
AFFX-r2-Bs-dap-3_at	2.4
AFFX-r2-Bs-lys-5_at	0.6
AFFX-r2-Bs-lys-M_at	11.6
AFFX-r2-Bs-lys-3_at	9.3
AFFX-r2-Bs-phe-5_at	1.1
AFFX-r2-Bs-phe-M_at	0.8
AFFX-r2-Bs-phe-3_at	1.3
AFFX-r2-Bs-thr-3_s_at	0.5
AFFX-r2-Bs-thr-M_s_at	6.3
AFFX-r2-Bs-thr-5_s_at	11.7
AFFX-b-ActinMur/M12481_5_at	9517.7
AFFX-b-ActinMur/M12481_M_at	10036.6
AFFX-b-ActinMur/M12481_3_at	10710.9
AFFX-GapdhMur/M32599_5_at	3319.6
AFFX-GapdhMur/M32599_M_at	6332.3
AFFX-GapdhMur/M32599_3_at	8883.8
AFFX-TransRecMur/X57349_5_at	218.8
AFFX-TransRecMur/X57349_M_at	77.5
AFFX-TransRecMur/X57349_3_at	82.4
AFFX-PyruCarbMur/L09192_5_at	5.7
AFFX-PyruCarbMur/L09192_MA_at	13.8
AFFX-PyruCarbMur/L09192_MB_at	0.9
AFFX-PyruCarbMur/L09192_3_at	40.2
AFFX-18SRNAMur/X00686_5_at	9257.9
AFFX-18SRNAMur/X00686_M_at	17012.5
AFFX-18SRNAMur/X00686_3_at	13960.8
AFFX-MUR_b2_at	140.1
AFFX-MURINE_b1_at	3156.7
AFFX-MURINE_B2_at	10081.8
1415670_at	2048.3
1415671_at	1043.5
1415672_at	1020.7
1415673_at	763.2
1415674_a_at	2130.5
1415675_at	640.9
1415676_a_at	877.8
1415677_at	1008.2
1415678_at	1099.3
1415679_at	2534.7
1415680_at	379.1
1415681_at	846.1
1415682_at	1037.9
1415683_at	1090.7
1415684_at	53.1
1415685_at	337.2
1415686_at	1278.6
1415687_a_at	2009.7
1415688_at	388
1415689_s_at	484.7
1415690_at	544.4
1415691_at	577
1415692_s_at	824.5
1415693_at	1025.3
1415694_at	142.2
1415695_at	1230.7
1415696_at	5001.4
1415697_at	1181
1415698_at	1249.3
1415699_a_at	336.1
1415700_a_at	4263.3
1415701_x_at	9241.3
1415702_a_at	1247.7
1415703_at	798
1415704_a_at	4288.6
1415705_at	728.1
1415706_at	3103.5
1415707_at	681.6
1415708_at	1094.8
1415709_s_at	1053.8
1415710_at	182.8
1415711_at	2363.6
1415712_at	515.1
1415713_a_at	1074.2
1415714_a_at	784.7
1415715_at	179.5
1415716_a_at	13242
1415717_at	768.3
1415718_at	762.7
1415719_s_at	342.4
1415720_s_at	285.7
1415721_a_at	782.7
1415722_a_at	1081.7
1415723_at	2334.8
1415724_a_at	1639.4
1415725_at	357.6
1415726_at	535.6
1415727_at	1071.9
1415728_at	1739.2
1415729_at	917.5
1415730_at	1439.3
1415731_at	423.3
1415732_at	652.3
1415733_a_at	843.9
1415734_at	2868.4
1415735_at	1237.6
1415736_at	3496.7
1415737_at	966.2
1415738_at	411.6
1415739_at	1493.6
1415740_at	1642.9
1415741_at	1059.5
1415742_at	1632.6
1415743_at	189.2
1415744_at	1280.3
1415745_a_at	442.9
1415746_at	469.3
1415747_s_at	627.5
1415748_a_at	1564.9
1415749_a_at	786.6
1415750_at	258.9
1415751_at	3208.2
1415752_at	1260.1
1415753_at	115
1415754_at	1075.7
1415755_a_at	947
1415756_a_at	427.4
1415757_at	53.3
1415758_at	2129.3
1415759_a_at	782.8
1415760_s_at	1565
1415761_at	712.4
1415762_x_at	1044.4
1415763_a_at	3301.9
1415764_at	1289.1
1415765_at	2154.4
1415766_at	90.8
1415767_at	350.2
1415768_a_at	1466.7
1415769_at	394.9
1415770_at	514.9
1415771_at	3606.4
1415772_at	627.5
1415773_at	4433
1415774_at	485.1
1415775_at	1865.2
1415776_at	503.7
1415777_at	9.3
1415778_at	975.4
1415779_s_at	7841.2
1415780_a_at	20.7
1415781_a_at	2461.8
1415782_at	2826.6
1415783_at	698.9
1415784_at	127
1415785_a_at	1592.4
1415786_at	7.2
1415787_at	550.3
1415788_at	150.4
1415789_a_at	143.1
1415790_at	128.7
1415791_at	259
1415792_at	641.7
1415793_at	212.5
1415794_a_at	770.7
1415795_at	1650
1415796_at	2372.1
1415797_at	26.4
1415798_at	24.6
1415799_at	713.2
1415800_at	10.5
1415801_at	28.8
1415802_at	1283.9
1415803_at	0.5
1415804_at	2.2
1415805_at	15.6
1415806_at	1.5
1415807_s_at	267.3
1415808_at	9.4
1415809_at	4
1415810_at	711.5
1415811_at	328
1415812_at	186.8
1415813_at	3274.5
1415814_at	964.5
1415815_at	92.7
1415816_at	8564.8
1415817_s_at	2406
1415818_at	4077.2
1415819_a_at	1564.3
1415820_x_at	4208.2
1415821_at	1560.7
1415822_at	1104.4
1415823_at	366.8
1415824_at	138.1
1415825_s_at	521.4
1415826_at	831.3
1415827_a_at	2000.5
1415828_a_at	1273
1415829_at	2492.8
1415830_at	221.3
1415831_at	2000
1415832_at	4.8
1415833_x_at	7437.4
1415834_at	266.4
1415835_at	9.8
1415836_at	286.5
1415837_at	6.8
1415838_at	610.3
1415839_a_at	4808.9
1415840_at	2262.3
1415841_at	874
1415842_at	193.6
1415843_at	39.5
1415844_at	0.2
1415845_at	11.4
1415846_a_at	11.1
1415847_at	12.3
1415848_at	10
1415849_s_at	3352.6
1415850_at	2391.5
1415851_a_at	873.9
1415852_at	855.6
1415853_at	98.4
1415854_at	1.4
1415855_at	8.8
1415856_at	2241.1
1415857_at	2948.9
1415858_at	1352.1
1415859_at	3150.3
1415860_at	876.2
1415861_at	0.8
1415862_at	0.4
1415863_at	2761.8
1415864_at	695.5
1415865_s_at	2022.3
1415866_at	478.7
1415867_at	3631.3
1415868_at	43.3
1415869_a_at	745.1
1415870_at	430.8
1415871_at	105.5
1415872_at	3492
1415873_a_at	1666.6
1415874_at	52.2
1415875_at	1183.4
1415876_a_at	4393.2
1415877_at	8.7
1415878_at	2051.1
1415879_a_at	9928
1415880_a_at	2599.7
1415881_at	1122.9
1415882_at	2249.3
1415883_a_at	1.9
1415884_at	47.3
1415885_at	11.7
1415886_at	316.1
1415887_at	337.3
1415888_at	752.4
1415889_a_at	2496.3
1415890_at	366.4
1415891_at	1097.3
1415892_at	249.4
1415893_at	163.4
1415894_at	16.5
1415895_at	2.1
1415896_x_at	45.3
1415897_a_at	41.4
1415898_at	7.9
1415899_at	63.7
1415900_a_at	13.9
1415901_at	91.7
1415902_at	1.2
1415903_at	1429.6
1415904_at	84.3
1415905_at	0.7
1415906_at	13847
1415907_at	1218.4
1415908_at	366.8
1415909_at	743.7
1415910_s_at	793.8
1415911_at	82
1415912_a_at	5236.9
1415913_at	42.1
1415914_at	3226.9
1415915_at	1577
1415916_a_at	574.6
1415917_at	102.2
1415918_a_at	584.4
1415919_at	37.2
1415920_at	483.2
1415921_a_at	2.2
1415922_s_at	64.2
1415923_at	0.3
1415924_at	8.6
1415925_a_at	1738.4
1415926_at	2474.1
1415927_at	7.5
1415928_a_at	3796.2
1415929_at	1144.5
1415930_a_at	4882.7
1415931_at	2.3
1415932_x_at	35.4
1415933_a_at	1678.1
1415934_at	535.8
1415935_at	11.5
1415936_at	0.9
1415937_s_at	458.1
1415938_at	3.5
1415939_at	25.2
1415940_at	418.6
1415941_s_at	227.5
1415942_at	3792.1
1415943_at	2.4
1415944_at	3.8
1415945_at	512.5
1415946_at	249.5
1415947_at	146.8
1415948_at	58.4
1415949_at	6.5
1415950_a_at	4393.2
1415951_at	4.2
1415952_at	886.5
1415953_s_at	300
1415954_at	0.8
1415955_x_at	30.5
1415956_a_at	706.9
1415957_a_at	819
1415958_at	1.8
1415959_at	1.5
1415960_at	18.2
1415961_at	2862.2
1415962_at	8668.3
1415963_at	1262.4
1415964_at	0.9
1415965_at	1.6
1415966_a_at	1969.5
1415967_at	1248.3
1415968_a_at	11.2
1415969_s_at	2.6
1415970_at	9813.1
1415971_at	102.2
1415972_at	163.2
1415973_at	54.7
1415974_at	663.9
1415975_at	916.3
1415976_a_at	136.4
1415977_at	266.5
1415978_at	3.6
1415979_x_at	6075.4
1415980_at	1287.5
1415981_at	407.9
1415982_at	416.8
1415983_at	5387.8
1415984_at	294.9
1415985_at	2371
1415986_at	336.5
1415987_at	563.4
1415988_at	710.6
1415989_at	8
1415990_at	3492.4
1415991_a_at	776.7
1415992_at	194.7
1415993_at	314
1415994_at	0.6
1415995_at	262.2
1415996_at	2897.1
1415997_at	1115.7
1415998_at	2200.3
1415999_at	21.9
1416000_a_at	2398.7
1416001_a_at	356.3
1416002_x_at	290.2
1416003_at	7.6
1416004_at	3423.3
1416005_at	4767.9
1416006_at	48.1
1416007_at	2016.2
1416008_at	1832.2
1416009_at	477.2
1416010_a_at	3298.8
1416011_x_at	1326.3
1416012_at	76.3
1416013_at	598
1416014_at	447.3
1416015_s_at	680.8
1416016_at	2272.3
1416017_at	702.3
1416018_at	846.6
1416019_at	388.8
1416020_a_at	543.8
1416021_a_at	895.4
1416022_at	223.4
1416023_at	61.9
1416024_x_at	1746
1416025_at	7.3
1416026_a_at	5527.3
1416027_at	1839
1416028_a_at	1572
1416029_at	620.9
1416030_a_at	274.4
1416031_s_at	1462
1416032_at	889.9
1416033_at	67.5
1416034_at	268.7
1416035_at	981.6
1416036_at	2949.1
1416037_a_at	3995.9
1416038_at	1710.4
1416039_x_at	0.8
1416040_at	8.4
1416041_at	1388.6
1416042_s_at	1207.2
1416043_at	44.6
1416044_at	2034.6
1416045_a_at	1003.1
1416046_a_at	178.6
1416047_at	61.7
1416048_at	770.1
1416049_at	337.7
1416050_a_at	35.2
1416051_at	26.2
1416052_at	180.5
1416053_at	2.8
1416054_at	7200.5
1416055_at	0.4
1416056_a_at	5358.1
1416057_at	734.5
1416058_s_at	6027.5
1416059_at	705.4
1416060_at	334.8
1416061_at	792.9
1416062_at	1880
1416063_x_at	2.5
1416064_a_at	3639.8
1416065_a_at	613.4
1416066_at	587.5
1416067_at	1858.7
1416068_at	713.6
1416069_at	2556.3
1416070_a_at	1307.4
1416071_at	529.7
1416072_at	4.3
1416073_a_at	805
1416074_a_at	6729.2
1416075_at	264.7
1416076_at	259.1
1416077_at	14.9
1416078_s_at	448.7
1416079_a_at	1071.1
1416080_at	28.4
1416081_at	7.9
1416082_at	3732.6
1416083_at	658.9
1416084_at	1018.5
1416085_s_at	3232.2
1416086_at	1185.5
1416087_at	554.5
1416088_a_at	7063.2
1416089_at	2994.2
1416090_at	1663.1
1416091_at	1119.9
1416092_a_at	1514.5
1416093_a_at	832.8
1416094_at	90.8
1416095_x_at	1052.7
1416096_at	166.8
1416097_at	41.9
1416098_at	51
1416099_at	8918.5
1416100_at	2206.5
1416101_a_at	401.6
1416102_at	6720.4
1416103_at	717.7
1416104_at	348
1416105_at	168.5
1416106_at	153.4
1416107_at	461.6
1416108_a_at	345.8
1416109_at	1117.8
1416110_at	868.3
1416111_at	96.4
1416112_at	401.7
1416113_at	1125.6
1416114_at	11.5
1416115_at	773.2
1416116_at	171.2
1416117_at	279.9
1416118_at	1134.4
1416119_at	2894.4
1416120_at	504.9
1416121_at	1
1416122_at	1150.8
1416123_at	2729.4
1416124_at	3473.5
1416125_at	1530
1416126_at	97.4
1416127_a_at	225.4
1416128_at	13
1416129_at	1139.8
1416130_at	10.7
1416131_s_at	261.5
1416132_at	767.5
1416133_at	851.2
1416134_at	52.7
1416135_at	221.3
1416136_at	6.6
1416137_at	194.5
1416138_at	1114.9
1416139_at	12.1
1416140_a_at	243.6
1416141_a_at	9952.9
1416142_at	626.9
1416143_at	4882.2
1416144_a_at	1697.4
1416145_at	2596.6
1416146_at	4105.4
1416147_at	476
1416148_at	52.3
1416149_at	0.6
1416150_a_at	3647
1416151_at	105.8
1416152_a_at	265.6
1416153_at	1839.3
1416154_at	290.4
1416155_at	707.5
1416156_at	140
1416157_at	350
1416158_at	0.9
1416159_at	6.5
1416160_at	0.5
1416161_at	412.9
1416162_at	881.6
1416163_at	1376.1
1416164_at	1.2
1416165_at	83.2
1416166_a_at	95.1
1416167_at	156
1416168_at	128.2
1416169_at	0.2
1416170_at	984.6
1416171_at	1316.2
1416172_at	640.1
1416173_at	26.6
1416174_at	83.6
1416175_a_at	1338
1416176_at	1122.6
1416177_at	1460.1
1416178_a_at	23.1
1416179_a_at	634.8
1416180_a_at	1073.4
1416181_at	2236.8
1416182_at	235.1
1416183_a_at	376.9
1416184_s_at	558.5
1416185_a_at	3830.8
1416186_at	2022.2
1416187_s_at	3003.4
1416188_at	604.5
1416189_a_at	7155.8
1416190_a_at	387.7
1416191_at	223.7
1416192_at	72.6
1416193_at	74.6
1416194_at	1.4
1416195_at	290.8
1416196_at	103.3
1416197_at	769.5
1416198_at	322.3
1416199_at	6.1
1416200_at	0.8
1416201_at	273.3
1416202_at	2652.3
1416203_at	17.1
1416204_at	18.2
1416205_at	145.4
1416206_at	792.3
1416207_at	413.1
1416208_at	358.6
1416209_at	5134.2
1416210_at	753.6
1416211_a_at	1.2
1416212_at	1275.3
1416213_x_at	1874.9
1416214_at	962.8
1416215_at	866.4
1416216_at	453.8
1416217_a_at	6167.1
1416218_x_at	119.2
1416219_at	9267.7
1416220_at	786.3
1416221_at	8.7
1416222_at	218.6
1416223_at	555.4
1416224_at	267.2
1416225_at	29.8
1416226_at	4404.7
1416227_at	276.5
1416228_at	410.8
1416229_at	448.9
1416230_at	598.2
1416231_at	234.8
1416232_at	2.4
1416233_at	3661.1
1416234_at	928.1
1416235_at	281.6
1416236_a_at	0.2
1416237_at	9.1
1416238_at	8.5
1416239_at	311.2
1416240_at	1231.2
1416241_at	1694.7
1416242_at	17.1
1416243_a_at	7761.9
1416244_a_at	6410.7
1416245_at	759.5
