

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
AFFX-BioB-5_at	1434.1
AFFX-BioB-M_at	2473
AFFX-BioB-3_at	1902.6
AFFX-BioC-5_at	3950.3
AFFX-BioC-3_at	2749.6
AFFX-BioDn-5_at	7214.1
AFFX-BioDn-3_at	10129.6
AFFX-CreX-5_at	19021.3
AFFX-CreX-3_at	18778.9
AFFX-DapX-5_at	4.7
AFFX-DapX-M_at	0.7
AFFX-DapX-3_at	5
AFFX-LysX-5_at	0.8
AFFX-LysX-M_at	5.8
AFFX-LysX-3_at	0.6
AFFX-PheX-5_at	0.3
AFFX-PheX-M_at	5.5
AFFX-PheX-3_at	3.5
AFFX-ThrX-5_at	4.9
AFFX-ThrX-M_at	3
AFFX-ThrX-3_at	6.2
AFFX-TrpnX-5_at	3.5
AFFX-TrpnX-M_at	8.7
AFFX-TrpnX-3_at	2.8
AFFX-r2-Ec-bioB-5_at	2523.8
AFFX-r2-Ec-bioB-M_at	2227.9
AFFX-r2-Ec-bioB-3_at	1788.7
AFFX-r2-Ec-bioC-5_at	4460.2
AFFX-r2-Ec-bioC-3_at	4601.3
AFFX-r2-Ec-bioD-5_at	11646.9
AFFX-r2-Ec-bioD-3_at	12747.9
AFFX-r2-P1-cre-5_at	17947.8
AFFX-r2-P1-cre-3_at	21664.6
AFFX-r2-Bs-dap-5_at	1.5
AFFX-r2-Bs-dap-M_at	4.2
AFFX-r2-Bs-dap-3_at	0.2
AFFX-r2-Bs-lys-5_at	0.2
AFFX-r2-Bs-lys-M_at	9.2
AFFX-r2-Bs-lys-3_at	0.3
AFFX-r2-Bs-phe-5_at	1.2
AFFX-r2-Bs-phe-M_at	0.3
AFFX-r2-Bs-phe-3_at	1
AFFX-r2-Bs-thr-3_s_at	3.2
AFFX-r2-Bs-thr-M_s_at	1.1
AFFX-r2-Bs-thr-5_s_at	8.3
AFFX-b-ActinMur/M12481_5_at	9338.6
AFFX-b-ActinMur/M12481_M_at	9262
AFFX-b-ActinMur/M12481_3_at	9791.7
AFFX-GapdhMur/M32599_5_at	3454.8
AFFX-GapdhMur/M32599_M_at	6161.3
AFFX-GapdhMur/M32599_3_at	8734.9
AFFX-TransRecMur/X57349_5_at	278.5
AFFX-TransRecMur/X57349_M_at	97.5
