

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
AFFX-BioB-5_at	1696.4
AFFX-BioB-M_at	2901.2
AFFX-BioB-3_at	2274.1
AFFX-BioC-5_at	4755.4
AFFX-BioC-3_at	3216.7
AFFX-BioDn-5_at	8935
AFFX-BioDn-3_at	12595.7
AFFX-CreX-5_at	22950
AFFX-CreX-3_at	23279.9
AFFX-DapX-5_at	0.9
AFFX-DapX-M_at	7.4
AFFX-DapX-3_at	7.5
AFFX-LysX-5_at	6.9
AFFX-LysX-M_at	11.9
AFFX-LysX-3_at	0.5
AFFX-PheX-5_at	0.9
AFFX-PheX-M_at	5.5
AFFX-PheX-3_at	3.5
AFFX-ThrX-5_at	5.9
AFFX-ThrX-M_at	0.7
AFFX-ThrX-3_at	7.6
AFFX-TrpnX-5_at	1.2
AFFX-TrpnX-M_at	12.9
AFFX-TrpnX-3_at	5.5
AFFX-r2-Ec-bioB-5_at	3037.4
AFFX-r2-Ec-bioB-M_at	2866
AFFX-r2-Ec-bioB-3_at	2301.8
AFFX-r2-Ec-bioC-5_at	5115.1
AFFX-r2-Ec-bioC-3_at	5545.8
AFFX-r2-Ec-bioD-5_at	14317.7
AFFX-r2-Ec-bioD-3_at	17024.8
AFFX-r2-P1-cre-5_at	21606.5
AFFX-r2-P1-cre-3_at	26622.3
AFFX-r2-Bs-dap-5_at	0.2
AFFX-r2-Bs-dap-M_at	0.2
AFFX-r2-Bs-dap-3_at	0.3
AFFX-r2-Bs-lys-5_at	1.7
AFFX-r2-Bs-lys-M_at	1.5
AFFX-r2-Bs-lys-3_at	15.3
AFFX-r2-Bs-phe-5_at	0.8
AFFX-r2-Bs-phe-M_at	1.4
AFFX-r2-Bs-phe-3_at	0.5
AFFX-r2-Bs-thr-3_s_at	0.8
AFFX-r2-Bs-thr-M_s_at	5
AFFX-r2-Bs-thr-5_s_at	9.1
AFFX-b-ActinMur/M12481_5_at	9319.5
AFFX-b-ActinMur/M12481_M_at	10115.9
AFFX-b-ActinMur/M12481_3_at	9923.6
AFFX-GapdhMur/M32599_5_at	1371.6
AFFX-GapdhMur/M32599_M_at	2714.7
AFFX-GapdhMur/M32599_3_at	6058.2
AFFX-TransRecMur/X57349_5_at	151.4
AFFX-TransRecMur/X57349_M_at	56.4
AFFX-TransRecMur/X57349_3_at	103.1
AFFX-PyruCarbMur/L09192_5_at	31.7
AFFX-PyruCarbMur/L09192_MA_at	8.7
AFFX-PyruCarbMur/L09192_MB_at	25.2
AFFX-PyruCarbMur/L09192_3_at	21
AFFX-18SRNAMur/X00686_5_at	10302.3
AFFX-18SRNAMur/X00686_M_at	19354.3
AFFX-18SRNAMur/X00686_3_at	15200
AFFX-MUR_b2_at	270.6
AFFX-MURINE_b1_at	4551.1
AFFX-MURINE_B2_at	11836.3
1415670_at	2093.4
1415671_at	904.5
1415672_at	924.7
1415673_at	374.6
1415674_a_at	1551.7
1415675_at	463
1415676_a_at	549.1
1415677_at	390.8
1415678_at	899.2
1415679_at	2401
1415680_at	391.3
1415681_at	431
1415682_at	1089.6
1415683_at	791.1
1415684_at	57.7
1415685_at	493
1415686_at	1490.6
1415687_a_at	1742.6
1415688_at	362.6
1415689_s_at	687.4
1415690_at	324.4
1415691_at	577.6
1415692_s_at	507.1
1415693_at	860.8
1415694_at	118.1
1415695_at	671.4
1415696_at	4298.5
1415697_at	1093.4
1415698_at	205.7
1415699_a_at	425.8
1415700_a_at	4477.1
1415701_x_at	10885.2
1415702_a_at	1317.6
1415703_at	1319.9
1415704_a_at	2942.3
1415705_at	717.9
1415706_at	2990.5
1415707_at	375.9
1415708_at	1193.6
1415709_s_at	766.9
1415710_at	309.7
1415711_at	1846.7
1415712_at	843.7
1415713_a_at	1021.1
1415714_a_at	546.6
1415715_at	214.5
1415716_a_at	15508.2
1415717_at	562.1
1415718_at	448
1415719_s_at	312
1415720_s_at	225.7
1415721_a_at	649.6
1415722_a_at	665.3
1415723_at	3544.1
1415724_a_at	1086
1415725_at	309.5
1415726_at	897
1415727_at	518.2
1415728_at	2408.9
1415729_at	843.1
1415730_at	2084.8
1415731_at	709.4
1415732_at	542.1
1415733_a_at	593.7
1415734_at	2167.5
1415735_at	1036.6
1415736_at	2642.5
1415737_at	710.7
1415738_at	332
1415739_at	972
1415740_at	1134.1
1415741_at	658.6
1415742_at	1434.9
1415743_at	315.9
1415744_at	919.3
1415745_a_at	297.5
1415746_at	712.1
1415747_s_at	600.7
1415748_a_at	1344.1
1415749_a_at	518
1415750_at	191.2
1415751_at	4198.2
1415752_at	1000.1
1415753_at	95.8
1415754_at	684.6
1415755_a_at	536.8
1415756_a_at	603.7
1415757_at	68.1
1415758_at	1335.9
1415759_a_at	863.7
1415760_s_at	724.5
1415761_at	504.6
1415762_x_at	773.7
1415763_a_at	3136
1415764_at	954.1
1415765_at	2165.1
1415766_at	121.9
1415767_at	318.8
1415768_a_at	2206.7
1415769_at	333.3
1415770_at	414.8
1415771_at	3537.1
1415772_at	617.4
1415773_at	4906.6
1415774_at	366.2
1415775_at	1740.7
1415776_at	376.4
1415777_at	1.5
1415778_at	1049.2
1415779_s_at	4693.6
1415780_a_at	62.7
1415781_a_at	2115.5
1415782_at	2852.7
1415783_at	578.5
1415784_at	186.7
1415785_a_at	1411.5
1415786_at	9.1
1415787_at	418.3
1415788_at	78.2
1415789_a_at	114.9
1415790_at	92.1
1415791_at	273.5
1415792_at	543.6
1415793_at	181.9
1415794_a_at	1081.3
1415795_at	1741.2
1415796_at	1936.8
1415797_at	77.3
1415798_at	53.2
1415799_at	718.4
1415800_at	0.6
1415801_at	18.2
1415802_at	592.3
1415803_at	21.7
1415804_at	0.9
1415805_at	16.3
1415806_at	10.2
1415807_s_at	271
1415808_at	9.2
1415809_at	3.2
1415810_at	21.9
1415811_at	31.4
1415812_at	233.4
1415813_at	2721.6
1415814_at	727.7
1415815_at	101.6
1415816_at	8219.5
1415817_s_at	1693.7
1415818_at	1242.4
1415819_a_at	833.9
1415820_x_at	3251.4
1415821_at	454.8
1415822_at	1272.6
1415823_at	319.8
1415824_at	196.7
1415825_s_at	419.3
1415826_at	661.9
1415827_a_at	1125.4
1415828_a_at	814.3
1415829_at	2704.3
1415830_at	236.7
1415831_at	1352.6
1415832_at	3.7
1415833_x_at	9795
1415834_at	131.8
1415835_at	16.7
1415836_at	143.8
1415837_at	1.2
1415838_at	541.6
1415839_a_at	6227.5
1415840_at	2608.7
1415841_at	731.7
1415842_at	83.7
1415843_at	52.1
1415844_at	1.6
1415845_at	19.6
1415846_a_at	21.4
1415847_at	27.9
1415848_at	2.2
1415849_s_at	2843
1415850_at	1998
1415851_a_at	1088.4
1415852_at	784
1415853_at	78.1
1415854_at	3
1415855_at	1.4
1415856_at	2870.7
1415857_at	3045.7
1415858_at	893.9
1415859_at	2950.2
1415860_at	324.2
1415861_at	1.1
1415862_at	0.3
1415863_at	2586.8
1415864_at	496.6
1415865_s_at	1156.4
1415866_at	269.6
1415867_at	2926.4
1415868_at	118.5
1415869_a_at	974.5
1415870_at	348.1
1415871_at	7.6
1415872_at	5064.7
1415873_a_at	1147.1
1415874_at	12.8
1415875_at	561.9
1415876_a_at	4882.5
1415877_at	5.6
1415878_at	625.5
1415879_a_at	10982
1415880_a_at	3319.7
1415881_at	661.8
1415882_at	1521.5
1415883_a_at	0.9
1415884_at	86.7
1415885_at	2.3
1415886_at	187.6
1415887_at	260.1
1415888_at	572.3
1415889_a_at	1611.2
1415890_at	302.9
1415891_at	741.1
1415892_at	209.6
1415893_at	90.8
1415894_at	9.5
1415895_at	66.8
1415896_x_at	26
1415897_a_at	0.7
1415898_at	7.7
1415899_at	24.3
1415900_a_at	0.8
1415901_at	40.9
1415902_at	1.5
1415903_at	1040.8
1415904_at	5.9
1415905_at	0.6
1415906_at	12848.9
1415907_at	744.8
